L0	L1	L2	L3	L4	L5
W87.64	W87.6	W87	W85-W99	V01-Y98	*
W90.68	W90.6	W90	W85-W99	V01-Y98	*
W80.61	W80.6	W80	W75-W84	V01-Y98	*
Q96.2	Q96.2	Q96	Q90-Q99	Q00-Q99	*
X45.64	X45.6	X45	X40-X49	V01-Y98	*
V71.54	V71.5	V71	V70-V79	V01-Y98	*
W81.24	W81.2	W81	W75-W84	V01-Y98	*
X83.61	X83.6	X83	X60-X84	V01-Y98	*
Y17.98	Y17.9	Y17	Y10-Y34	V01-Y98	*
V50.79	V50.7	V50	V50-V59	V01-Y98	*
W08.08	W08.0	W08	W00-W19	V01-Y98	*
X01.83	X01.8	X01	X00-X09	V01-Y98	*
W33.00	W33.0	W33	W20-W49	V01-Y98	*
T11	T11	T11	T08-T14	S00-T98	*
H57	H57	H57	H55-H59	H00-H59	*
X25.53	X25.5	X25	X20-X29	V01-Y98	*
F20.63	F20.6	F20	F20-F29	F00-F99	*
V82.92	V82.9	V82	V80-V89	V01-Y98	*
O66.2	O66.2	O66	O60-O75	O00-O99	*
X27.41	X27.4	X27	X20-X29	V01-Y98	*
P81	P81	P81	P80-P83	P00-P96	*
X05.32	X05.3	X05	X00-X09	V01-Y98	*
X25.42	X25.4	X25	X20-X29	V01-Y98	*
G24.4	G24.4	G24	G20-G26	G00-G99	*
Y32.63	Y32.6	Y32	Y10-Y34	V01-Y98	*
X65.58	X65.5	X65	X60-X84	V01-Y98	*
W79.29	W79.2	W79	W75-W84	V01-Y98	*
W30.2	W30.2	W30	W20-W49	V01-Y98	*
C08	C08	C08	C00-C14	C00-D48	*
V51.7	V51.7	V51	V50-V59	V01-Y98	*
X35.29	X35.2	X35	X30-X39	V01-Y98	*
V72.18	V72.1	V72	V70-V79	V01-Y98	*
V89.38	V89.3	V89	V80-V89	V01-Y98	*
X94.38	X94.3	X94	X85-Y09	V01-Y98	*
W49.14	W49.1	W49	W20-W49	V01-Y98	*
I12.0	I12.0	I12	I10-I15	I00-I99	*
W17.13	W17.1	W17	W00-W19	V01-Y98	*
W73.04	W73.0	W73	W65-W74	V01-Y98	*
W00.52	W00.5	W00	W00-W19	V01-Y98	*
X67.51	X67.5	X67	X60-X84	V01-Y98	*
Y24.11	Y24.1	Y24	Y10-Y34	V01-Y98	*
X06.99	X06.9	X06	X00-X09	V01-Y98	*
W99.0	W99.0	W99	W85-W99	V01-Y98	*
D73.4	D73.4	D73	D70-D77	D50-D89	*
J01.2	J01.2	J01	J00-J06	J00-J99	*
F14.3	F14.3	F14	F10-F19	F00-F99	*
F16.1	F16.1	F16	F10-F19	F00-F99	*
X52.93	X52.9	X52	X50-X57	V01-Y98	*
Y33.32	Y33.3	Y33	Y10-Y34	V01-Y98	*
R40	R40	R40	R40-R46	R00-R99	*
V84.9	V84.9	V84	V80-V89	V01-Y98	*
V02.18	V02.1	V02	V01-V09	V01-Y98	*
V21.22	V21.2	V21	V20-V29	V01-Y98	*
E87.8	E87.8	E87	E70-E90	E00-E90	*
W13.8	W13.8	W13	W00-W19	V01-Y98	*
W28.68	W28.6	W28	W20-W49	V01-Y98	*
X98.82	X98.8	X98	X85-Y09	V01-Y98	*
W30.39	W30.3	W30	W20-W49	V01-Y98	*
V19.03	V19.0	V19	V10-V19	V01-Y98	*
V26.09	V26.0	V26	V20-V29	V01-Y98	*
V54.60	V54.6	V54	V50-V59	V01-Y98	*
X84.23	X84.2	X84	X60-X84	V01-Y98	*
Y05.33	Y05.3	Y05	X85-Y09	V01-Y98	*
M80.1	M80.1	M80	M80-M85	M00-M99	*
X50.81	X50.8	X50	X50-X57	V01-Y98	*
X42.39	X42.3	X42	X40-X49	V01-Y98	*
V32.18	V32.1	V32	V30-V39	V01-Y98	*
V27.02	V27.0	V27	V20-V29	V01-Y98	*
B02.9	B02.9	B02	B00-B09	A00-B99	*
X21.12	X21.1	X21	X20-X29	V01-Y98	*
Y23.90	Y23.9	Y23	Y10-Y34	V01-Y98	*
V24.3	V24.3	V24	V20-V29	V01-Y98	*
V26.3	V26.3	V26	V20-V29	V01-Y98	*
V73.10	V73.1	V73	V70-V79	V01-Y98	*
G97	G97	G97	G90-G99	G00-G99	*
X75.60	X75.6	X75	X60-X84	V01-Y98	*
X47.04	X47.0	X47	X40-X49	V01-Y98	*
V66.92	V66.9	V66	V60-V69	V01-Y98	*
D72.0	D72.0	D72	D70-D77	D50-D89	*
S06.40	S06.4	S06	S00-S09	S00-T98	*
Q45.8	Q45.8	Q45	Q38-Q45	Q00-Q99	*
V10.1	V10.1	V10	V10-V19	V01-Y98	*
V78.64	V78.6	V78	V70-V79	V01-Y98	*
V24.11	V24.1	V24	V20-V29	V01-Y98	*
V85.49	V85.4	V85	V80-V89	V01-Y98	*
W58.88	W58.8	W58	W50-W64	V01-Y98	*
V75.20	V75.2	V75	V70-V79	V01-Y98	*
W94.18	W94.1	W94	W85-W99	V01-Y98	*
Q82.9	Q82.9	Q82	Q80-Q89	Q00-Q99	*
W00.23	W00.2	W00	W00-W19	V01-Y98	*
X49.90	X49.9	X49	X40-X49	V01-Y98	*
V79.23	V79.2	V79	V70-V79	V01-Y98	*
W38.34	W38.3	W38	W20-W49	V01-Y98	*
F34.9	F34.9	F34	F30-F39	F00-F99	*
X21.42	X21.4	X21	X20-X29	V01-Y98	*
M43.2	M43.2	M43	M40-M43	M00-M99	*
K91.9	K91.9	K91	K90-K93	K00-K93	*
X79.78	X79.7	X79	X60-X84	V01-Y98	*
W20.98	W20.9	W20	W20-W49	V01-Y98	*
P29.0	P29.0	P29	P20-P29	P00-P96	*
V23.11	V23.1	V23	V20-V29	V01-Y98	*
X30.68	X30.6	X30	X30-X39	V01-Y98	*
X62.10	X62.1	X62	X60-X84	V01-Y98	*
W74.9	W74.9	W74	W65-W74	V01-Y98	*
X38.14	X38.1	X38	X30-X39	V01-Y98	*
V88.20	V88.2	V88	V80-V89	V01-Y98	*
X32.42	X32.4	X32	X30-X39	V01-Y98	*
X29.60	X29.6	X29	X20-X29	V01-Y98	*
F50.1	F50.1	F50	F50-F59	F00-F99	*
B97.8	B97.8	B97	B95-B97	A00-B99	*
W13.13	W13.1	W13	W00-W19	V01-Y98	*
V95.20	V95.2	V95	V95-V97	V01-Y98	*
W94.51	W94.5	W94	W85-W99	V01-Y98	*
C68.9	C68.9	C68	C64-C68	C00-D48	*
V82.49	V82.4	V82	V80-V89	V01-Y98	*
W36.2	W36.2	W36	W20-W49	V01-Y98	*
